name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Colorado,5/2/2010,50.4,31.6,41.6,50.4,25.4,36.8,28,59.9,0,0,0,,0,0,27.9,17,342,1005.1,75.3,19.5,172.5,14.8,5,,2010-05-02T05:59:13,2010-05-02T19:55:15,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/3/2010,62.1,34.1,48.8,62.1,26.2,45.9,25.1,44.7,0,0,0,,0,0,32.2,16.7,262.3,1012.9,49.7,26.6,333.8,29,10,,2010-05-03T05:58:01,2010-05-03T19:56:15,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/4/2010,73.4,43.4,60.6,73.4,38.3,59.2,22.3,25.5,0,0,0,,0,0,39.7,26,259.6,1004.9,26.8,28.5,360.5,31,10,,2010-05-04T05:56:50,2010-05-04T19:57:14,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/5/2010,63.2,39.2,50.8,63.2,31.8,47.3,22.2,33.8,0,0,0,,0,0,36.2,21,154.1,1009.5,47.3,25,295.4,25.6,9,,2010-05-05T05:55:40,2010-05-05T19:58:13,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/6/2010,55.3,35.5,45.8,55.3,28.1,41.9,29.8,53.9,0.001,100,4.17,rain,0,0,32.2,20.4,4.1,1007.8,61.2,21.4,326.9,28.3,10,,2010-05-06T05:54:32,2010-05-06T19:59:12,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/7/2010,51.7,29.4,40.8,51.7,24.1,36.8,19.9,47.6,0,0,0,,0,0,18.3,16.3,45.1,1022.2,71.3,10.5,354.6,30.8,10,,2010-05-07T05:53:25,2010-05-07T20:00:11,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/8/2010,59.6,31.8,46.7,59.6,24.9,43.1,23.6,41,0,0,0,,0,0,28.7,19.5,152.1,1019.2,76.5,19.9,280.1,24.2,9,,2010-05-08T05:52:19,2010-05-08T20:01:10,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/9/2010,69.4,36.4,54,69.4,32.3,53,32.5,46.9,0,0,0,,0,0,19.9,15.3,358.9,1008.2,52.8,18.8,352.4,30.6,10,,2010-05-09T05:51:15,2010-05-09T20:02:08,0.86,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/10/2010,65.6,43.4,53.8,65.6,39.4,52.7,35.7,56,0,0,0,,0,0,30.9,17.4,355,1001.3,63.2,15.9,331.2,28.5,10,,2010-05-10T05:50:12,2010-05-10T20:03:06,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
Colorado,5/11/2010,51.1,33.5,41.3,51.1,24.6,35.6,34.8,79,0.248,100,25,"rain,snow",0,0,31,21.6,92.2,1009.1,85.2,16.6,314.3,27.2,10,,2010-05-11T05:49:11,2010-05-11T20:04:03,0.93,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,72466693067"
